date,Interest
2024-06-05,46
2024-06-06,46
2024-06-07,46
2024-06-08,46
2024-06-09,54
2024-06-10,54
2024-06-11,54
2024-06-12,54
2024-06-13,54
2024-06-14,54
2024-06-15,54
2024-06-16,67
2024-06-17,67
2024-06-18,67
2024-06-19,67
2024-06-20,67
2024-06-21,67
2024-06-22,67
2024-06-23,55
2024-06-24,55
2024-06-25,55
2024-06-26,55
2024-06-27,55
2024-06-28,55
2024-06-29,55
2024-06-30,54
2024-07-01,54
2024-07-02,54
2024-07-03,54
2024-07-04,54
2024-07-05,54
2024-07-06,54
2024-07-07,59
2024-07-08,59
2024-07-09,59
2024-07-10,59
2024-07-11,59
2024-07-12,59
2024-07-13,59
2024-07-14,47
2024-07-15,47
2024-07-16,47
2024-07-17,47
2024-07-18,47
2024-07-19,47
2024-07-20,47
2024-07-21,60
2024-07-22,60
2024-07-23,60
2024-07-24,60
2024-07-25,60
2024-07-26,60
2024-07-27,60
2024-07-28,69
2024-07-29,69
2024-07-30,69
2024-07-31,69
2024-08-01,69
2024-08-02,69
2024-08-03,69
2024-08-04,62
2024-08-05,62
2024-08-06,62
2024-08-07,62
2024-08-08,62
2024-08-09,62
2024-08-10,62
2024-08-11,50
2024-08-12,50
2024-08-13,50
2024-08-14,50
2024-08-15,50
2024-08-16,50
2024-08-17,50
2024-08-18,56
2024-08-19,56
2024-08-20,56
2024-08-21,56
2024-08-22,56
2024-08-23,56
2024-08-24,56
2024-08-25,59
2024-08-26,59
2024-08-27,59
2024-08-28,59
2024-08-29,59
2024-08-30,59
2024-08-31,59
2024-09-01,47
2024-09-02,47
2024-09-03,47
2024-09-04,47
2024-09-05,47
2024-09-06,47
2024-09-07,47
2024-09-08,45
2024-09-09,45
2024-09-10,45
2024-09-11,45
2024-09-12,45
2024-09-13,45
2024-09-14,45
2024-09-15,50
2024-09-16,50
2024-09-17,50
2024-09-18,50
2024-09-19,50
2024-09-20,50
2024-09-21,50
2024-09-22,65
2024-09-23,65
2024-09-24,65
2024-09-25,65
2024-09-26,65
2024-09-27,65
2024-09-28,65
2024-09-29,45
2024-09-30,45
2024-10-01,45
2024-10-02,45
2024-10-03,45
2024-10-04,45
2024-10-05,45
2024-10-06,54
2024-10-07,54
2024-10-08,54
2024-10-09,54
2024-10-10,54
2024-10-11,54
2024-10-12,54
2024-10-13,30
2024-10-14,30
2024-10-15,30
2024-10-16,30
2024-10-17,30
2024-10-18,30
2024-10-19,30
2024-10-20,46
2024-10-21,46
2024-10-22,46
2024-10-23,46
2024-10-24,46
2024-10-25,46
2024-10-26,46
2024-10-27,45
2024-10-28,45
2024-10-29,45
2024-10-30,45
2024-10-31,45
2024-11-01,45
2024-11-02,45
2024-11-03,49
2024-11-04,49
2024-11-05,49
2024-11-06,49
2024-11-07,49
2024-11-08,49
2024-11-09,49
2024-11-10,52
2024-11-11,52
2024-11-12,52
2024-11-13,52
2024-11-14,52
2024-11-15,52
2024-11-16,52
2024-11-17,37
2024-11-18,37
2024-11-19,37
2024-11-20,37
2024-11-21,37
2024-11-22,37
2024-11-23,37
2024-11-24,34
2024-11-25,34
2024-11-26,34
2024-11-27,34
2024-11-28,34
2024-11-29,34
2024-11-30,34
2024-12-01,31
2024-12-02,31
2024-12-03,31
2024-12-04,31
2024-12-05,31
2024-12-06,31
2024-12-07,31
2024-12-08,69
2024-12-09,69
2024-12-10,69
2024-12-11,69
2024-12-12,69
2024-12-13,69
2024-12-14,69
2024-12-15,56
2024-12-16,56
2024-12-17,56
2024-12-18,56
2024-12-19,56
2024-12-20,56
2024-12-21,56
2024-12-22,30
2024-12-23,30
2024-12-24,30
2024-12-25,30
2024-12-26,30
2024-12-27,30
2024-12-28,30
2024-12-29,46
2024-12-30,46
2024-12-31,46
2025-01-01,46
2025-01-02,46
2025-01-03,46
2025-01-04,46
2025-01-05,64
2025-01-06,64
2025-01-07,64
2025-01-08,64
2025-01-09,64
2025-01-10,64
2025-01-11,64
2025-01-12,55
2025-01-13,55
2025-01-14,55
2025-01-15,55
2025-01-16,55
2025-01-17,55
2025-01-18,55
2025-01-19,45
2025-01-20,45
2025-01-21,45
2025-01-22,45
2025-01-23,45
2025-01-24,45
2025-01-25,45
2025-01-26,48
2025-01-27,48
2025-01-28,48
2025-01-29,48
2025-01-30,48
2025-01-31,48
2025-02-01,48
2025-02-02,41
2025-02-03,41
2025-02-04,41
2025-02-05,41
2025-02-06,41
2025-02-07,41
2025-02-08,41
2025-02-09,61
2025-02-10,61
2025-02-11,61
2025-02-12,61
2025-02-13,61
2025-02-14,61
2025-02-15,61
2025-02-16,36
2025-02-17,36
2025-02-18,36
2025-02-19,36
2025-02-20,36
2025-02-21,36
2025-02-22,36
2025-02-23,45
2025-02-24,45
2025-02-25,45
2025-02-26,45
2025-02-27,45
2025-02-28,45
2025-03-01,45
2025-03-02,50
2025-03-03,50
2025-03-04,50
2025-03-05,50
2025-03-06,50
2025-03-07,50
2025-03-08,50
2025-03-09,49
2025-03-10,49
2025-03-11,49
2025-03-12,49
2025-03-13,49
2025-03-14,49
2025-03-15,49
2025-03-16,47
2025-03-17,47
2025-03-18,47
2025-03-19,47
2025-03-20,47
2025-03-21,47
2025-03-22,47
2025-03-23,61
2025-03-24,61
2025-03-25,61
2025-03-26,61
2025-03-27,61
2025-03-28,61
2025-03-29,61
2025-03-30,36
2025-03-31,36
2025-04-01,36
2025-04-02,36
2025-04-03,36
2025-04-04,36
2025-04-05,36
2025-04-06,73
2025-04-07,73
2025-04-08,73
2025-04-09,73
2025-04-10,73
2025-04-11,73
2025-04-12,73
2025-04-13,49
2025-04-14,49
2025-04-15,49
2025-04-16,49
2025-04-17,49
2025-04-18,49
2025-04-19,49
2025-04-20,43
2025-04-21,43
2025-04-22,43
2025-04-23,43
2025-04-24,43
2025-04-25,43
2025-04-26,43
2025-04-27,46
2025-04-28,46
2025-04-29,46
2025-04-30,46
2025-05-01,46
2025-05-02,46
2025-05-03,46
2025-05-04,28
